NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,BOLSA,FECHA
10,2348,L,E,L,L,V,E,L,L,E,E,V,L,E,E,17500000,31/08/2026
10,2347,L,E,L,E,L,L,L,V,V,E,V,E,L,V,12500000,24/08/2026
10,2346,L,L,V,E,L,L,L,V,L,L,V,L,E,E,7000000,17/08/2026
10,2345,V,V,V,V,L,L,L,L,V,L,L,L,E,L,5000000,10/08/2026
10,2344,E,V,V,L,E,L,E,E,E,V,E,E,L,L,24500000,03/08/2026
10,2343,E,V,L,V,L,V,E,E,L,L,E,L,L,V,18500000,27/07/2026
10,2342,E,V,V,V,V,E,V,E,E,V,E,L,E,V,13000000,20/07/2026
10,2341,E,E,L,V,V,L,E,L,V,L,V,L,L,E,9000000,12/07/2026
10,2340,V,V,V,V,V,L,E,L,E,V,V,E,E,E,7000000,07/07/2026
10,2339,L,E,V,E,L,L,L,L,E,E,L,V,L,V,5000000,04/07/2026
10,2338,V,L,L,E,L,E,V,E,V,E,L,E,L,E,5000000,28/06/2026
10,2337,L,E,L,L,V,V,L,L,V,V,L,L,V,V,0,24/06/2026
10,2336,L,L,E,L,E,L,E,L,L,E,E,L,L,L,11000000,17/06/2026
10,2335,L,E,E,L,L,L,V,L,V,L,E,V,V,E,5000000,01/06/2026
10,2334,V,E,L,V,L,L,E,V,L,V,V,E,V,V,8000000,25/05/2026
10,2333,L,V,L,L,L,E,V,E,L,L,V,E,L,L,5000000,18/05/2026
10,2332,L,L,E,E,L,V,E,L,L,L,V,L,E,L,5000000,11/05/2026
10,2331,E,L,V,V,L,L,E,L,E,E,E,E,V,L,14000000,04/05/2026
10,2330,V,V,V,L,V,E,E,L,V,E,V,V,L,E,9000000,27/04/2026
10,2329,V,V,L,V,L,E,V,L,V,L,V,L,E,V,5000000,20/04/2026
10,2328,L,L,E,E,L,L,E,V,V,V,V,V,L,V,9000000,13/04/2026
10,2327,L,V,L,V,V,L,E,L,V,L,V,L,V,L,5000000,06/04/2026
10,2326,E,V,V,V,V,V,L,L,V,E,L,V,E,V,5000000,30/03/2026
10,2325,V,V,L,E,V,L,L,E,V,V,V,L,V,E,15000000,23/03/2026
10,2324,E,E,E,E,L,E,V,L,V,E,V,E,E,V,9000000,16/03/2026
10,2323,V,V,L,L,E,L,V,V,E,V,L,V,E,V,5000000,09/03/2026
10,2322,L,E,L,V,V,E,V,L,E,L,L,E,V,E,35000000,02/03/2026
10,2321,L,L,E,L,V,E,E,L,L,L,L,L,L,L,27000000,23/02/2026
10,2320,L,L,V,E,E,E,V,V,E,V,V,L,V,E,20300000,16/02/2026
10,2319,L,E,E,L,L,V,L,V,E,E,E,V,L,L,14300000,09/02/2026
10,2318,V,V,V,E,E,E,V,E,L,E,V,L,E,E,8000000,02/02/2026
10,2317,V,L,V,E,L,L,V,L,L,E,V,V,E,L,5000000,26/01/2026
10,2316,V,E,E,E,E,L,L,L,L,L,L,E,E,V,21000000,19/01/2026
10,2315,E,L,L,V,V,E,E,V,E,V,E,E,V,E,15000000,12/01/2026
10,2314,E,V,E,L,V,L,V,V,E,L,L,L,L,V,9300000,05/01/2026
10,2313,L,V,V,V,V,E,L,E,E,E,V,L,L,E,6200000,29/12/2025
10,2312,V,L,E,V,L,E,V,E,E,V,L,E,V,E,5000000,22/12/2025
10,2311,L,V,L,V,L,V,V,V,V,L,E,V,L,V,5000000,15/12/2025
10,2310,L,E,L,E,V,L,L,L,E,E,E,L,E,L,18500000,08/12/2025
10,2309,L,L,V,V,V,E,V,V,V,E,V,E,L,L,13000000,01/12/2025
10,2308,L,V,V,V,V,V,V,L,E,V,L,E,E,V,7000000,24/11/2025
10,2307,E,L,E,L,L,V,L,E,E,L,V,L,V,L,5000000,17/11/2025
10,2306,E,L,L,L,E,L,L,L,L,E,E,E,L,L,39000000,10/11/2025
10,2305,V,E,V,V,L,V,L,V,L,V,L,E,V,V,30000000,03/11/2025
10,2304,E,L,V,E,V,L,V,E,L,L,V,E,V,V,23500000,27/10/2025
10,2303,L,E,L,V,L,L,E,E,V,V,E,V,V,L,17500000,20/10/2025
10,2302,V,V,E,L,E,L,V,V,E,L,V,L,L,L,12000000,13/10/2025
10,2301,L,L,E,V,E,V,V,E,L,L,E,E,V,L,8500000,06/10/2025
10,2300,L,L,E,L,V,L,E,V,L,L,V,L,V,V,5000000,29/09/2025
10,2299,E,L,E,V,E,V,L,V,V,V,L,L,E,L,8000000,22/09/2025
10,2298,V,V,E,E,L,E,V,V,L,V,V,L,L,E,5000000,15/09/2025
10,2297,E,V,V,L,V,L,E,E,V,V,E,V,L,E,23300000,08/09/2025
10,2296,V,L,V,L,V,E,V,L,L,E,L,V,L,E,17500000,01/09/2025
10,2295,E,L,V,E,E,L,L,L,L,E,L,V,V,V,12500000,25/08/2025
10,2294,V,V,L,E,E,E,V,V,V,L,L,L,L,V,8000000,18/08/2025
10,2293,V,E,V,E,V,E,E,V,V,E,V,L,L,V,5000000,12/08/2025
10,2292,L,L,L,E,E,E,E,L,V,E,E,L,L,L,11800000,04/08/2025
10,2291,V,E,E,L,L,L,E,L,L,E,V,E,E,E,7500000,27/07/2025
10,2290,V,L,L,E,V,V,V,E,L,V,V,V,L,L,5000000,21/07/2025
10,2289,E,L,E,L,V,L,V,L,V,V,E,E,L,V,21000000,14/07/2025
10,2288,V,L,L,E,L,E,E,V,E,E,V,L,L,E,15700000,07/07/2025
10,2287,E,L,E,V,V,E,V,E,L,V,E,E,V,E,11000000,30/06/2025
10,2286,E,E,E,L,L,E,L,V,L,E,E,V,E,V,7500000,23/06/2025
10,2285,E,L,E,L,L,V,L,V,V,L,V,L,E,E,5000000,16/06/2025
10,2284,E,E,V,L,V,V,E,E,V,E,E,V,E,L,20900000,09/06/2025
10,2283,L,L,E,E,L,V,V,V,V,L,L,E,V,E,16000000,02/06/2025
10,2282,L,V,E,E,V,E,V,L,V,E,V,V,L,V,11700000,26/05/2025
10,2281,L,L,L,V,L,L,V,L,V,V,E,E,V,L,7800000,19/05/2025
10,2280,L,L,L,V,L,L,E,E,V,E,L,V,L,L,5000000,12/05/2025
10,2279,L,V,E,L,V,V,E,E,E,E,V,E,L,E,16700000,05/05/2025
10,2278,V,E,E,E,V,E,V,E,V,V,L,L,L,E,11700000,28/04/2025
10,2277,E,E,L,L,L,V,V,V,E,V,V,E,V,L,7700000,21/04/2025
10,2276,E,L,E,V,V,L,E,E,V,E,E,V,E,E,5000000,14/04/2025
10,2275,V,L,L,L,E,L,E,E,E,L,V,V,E,V,9500000,07/04/2025
10,2274,L,L,V,V,V,L,E,L,V,L,V,E,V,L,5000000,31/03/2025
10,2273,E,V,V,L,E,E,V,V,E,E,E,L,L,L,26000000,24/03/2025
10,2272,E,V,E,V,E,V,E,L,L,V,E,V,L,L,19700000,17/03/2025
10,2271,V,E,E,L,V,E,E,V,E,E,L,L,V,L,14700000,10/03/2025
10,2270,V,E,L,V,E,V,V,E,V,L,V,E,E,L,9000000,03/03/2025
10,2269,L,V,L,L,V,L,V,V,L,V,L,L,L,V,5000000,24/02/2025
10,2268,L,L,L,L,L,L,E,L,V,V,E,E,L,V,32700000,17/02/2025
10,2267,E,L,L,E,L,V,V,L,E,V,L,L,L,E,24700000,10/02/2025
10,2266,V,L,V,E,L,E,V,L,V,E,E,E,V,V,18500000,03/02/2025
10,2265,E,V,V,L,L,V,V,E,L,L,L,E,L,L,13000000,27/01/2025
10,2264,L,E,V,L,L,V,L,L,V,V,L,L,E,E,8300000,20/01/2025
