NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,BOLSA,FECHA
30,885,D,L,D,D,L,D,D,L,V,D,V,L,V,3700000,29/08/2026
30,884,V,V,D,V,V,V,L,V,L,D,D,V,D,3500000,24/08/2026
30,883,D,L,D,V,V,V,V,L,L,D,V,L,V,3300000,16/08/2026
30,882,D,D,D,D,L,V,D,L,L,D,D,D,V,3100000,09/02/2026
30,881,D,D,D,L,L,L,D,L,L,V,D,V,D,2800000,05/01/2026
30,880,D,V,V,L,L,D,D,V,V,V,D,D,D,2700000,30/12/2025
30,879,D,D,D,V,L,D,V,V,V,D,D,D,V,1900000,23/12/2025
30,878,L,V,L,L,D,D,V,L,L,D,D,V,L,1500000,16/12/2025
30,877,V,D,D,L,L,V,D,D,V,L,V,V,D,1500000,09/12/2025
30,876,D,V,D,D,D,D,V,L,L,V,D,L,L,1500000,02/12/2025
30,875,L,D,D,D,L,D,D,D,V,D,V,L,L,9000000,25/11/2025
30,874,D,D,L,L,D,L,D,V,D,V,D,L,V,7700000,18/11/2025
30,873,D,V,D,L,L,V,L,D,L,V,V,L,D,8900000,11/11/2025
30,872,D,D,D,D,D,V,L,V,L,D,L,V,V,7800000,04/11/2025
30,871,V,L,V,D,L,L,L,V,L,L,V,L,V,6300000,28/10/2025
30,870,V,L,L,D,V,V,D,V,D,L,L,L,L,5200000,21/10/2025
30,869,D,V,D,D,V,D,L,D,L,L,L,L,D,0,14/10/2025
30,868,D,V,D,L,L,V,D,D,D,V,V,D,D,3900000,07/10/2025
30,867,D,L,L,L,D,D,L,D,L,D,D,D,L,4700000,30/09/2025
30,866,L,L,L,V,L,D,V,L,D,L,L,D,V,3600000,23/09/2025
30,865,D,D,D,D,V,V,V,D,D,D,V,D,V,2700000,16/09/2025
30,864,D,D,L,L,V,V,D,L,D,L,D,D,D,1800000,09/09/2025
30,863,D,L,L,V,V,D,V,V,L,L,D,L,L,1500000,24/08/2025
30,862,V,L,D,V,D,V,D,L,D,L,D,L,V,1500000,19/08/2025
30,861,V,V,L,V,L,D,L,L,D,V,V,D,L,3700000,10/08/2025
30,860,L,L,L,L,D,L,L,V,D,D,D,L,L,3400000,10/02/2025
30,859,L,D,D,L,L,D,D,L,L,L,D,L,V,2900000,06/01/2025
30,858,V,D,D,L,L,L,D,V,L,V,L,D,D,1700000,31/12/2024
30,857,L,D,D,V,L,V,D,L,D,D,L,D,L,1500000,24/12/2024
30,856,V,L,V,D,V,L,L,D,V,L,V,L,D,1500000,17/12/2024
30,855,D,D,L,D,D,L,L,D,V,D,L,D,V,1700000,10/12/2024
30,854,D,D,D,D,D,D,L,D,V,D,L,L,L,1500000,03/12/2024
30,853,D,D,D,V,L,V,V,V,L,L,V,V,D,2000000,26/11/2024
30,852,D,L,L,D,L,D,V,D,L,D,L,L,V,1500000,19/11/2024
30,851,D,V,V,D,D,D,D,D,L,L,V,D,V,1500000,12/11/2024
30,850,D,L,D,D,L,V,D,D,L,V,D,L,D,1500000,05/11/2024
30,849,D,D,D,D,D,D,V,L,V,D,V,D,L,4400000,29/10/2024
30,848,L,V,L,V,D,D,D,V,D,V,L,V,D,3600000,22/10/2024
30,847,L,L,L,V,V,D,D,V,V,V,V,V,D,3200000,15/10/2024
30,846,D,L,D,D,D,D,L,L,D,D,V,D,L,2800000,08/10/2024
30,845,D,D,D,D,D,D,L,V,L,V,D,L,L,2200000,01/10/2024
30,844,D,L,D,L,V,V,L,V,D,D,D,L,D,2100000,24/09/2024
30,843,V,D,D,D,D,D,V,D,L,V,D,D,D,1600000,17/09/2024
30,842,V,L,D,D,D,L,V,L,D,V,L,D,L,1500000,10/09/2024
30,841,V,L,D,D,L,D,V,V,D,D,D,L,L,5400000,26/08/2024
30,840,L,L,D,V,D,L,D,D,D,L,V,L,D,4800000,19/08/2024
30,839,V,D,D,V,D,V,D,L,D,V,D,D,D,4400000,11/08/2024
30,838,L,L,L,V,D,L,L,D,D,L,V,D,D,4200000,12/02/2024
30,837,D,V,V,L,L,L,D,L,V,V,L,D,L,3500000,08/01/2024
30,836,D,L,L,L,D,D,D,V,V,V,L,L,V,2600000,01/01/2024
30,835,D,L,D,V,D,D,D,L,L,D,D,L,V,1700000,26/12/2023
30,834,L,L,D,D,V,L,D,V,V,L,L,V,D,1500000,19/12/2023
30,833,D,D,L,L,D,L,L,D,L,D,V,L,D,2400000,12/12/2023
30,832,D,D,D,V,D,D,V,D,L,V,L,D,D,1700000,05/12/2023
30,831,L,D,D,L,D,L,V,L,V,D,V,D,D,1500000,28/11/2023
30,830,D,D,D,D,L,L,V,L,L,D,D,D,L,5200000,21/11/2023
30,829,D,D,D,V,L,D,L,D,D,L,D,D,D,4600000,14/11/2023
30,828,L,D,L,L,L,D,D,L,V,L,D,D,V,4100000,07/11/2023
30,827,D,L,V,V,D,V,D,V,D,V,L,V,L,4400000,31/10/2023
30,826,L,L,D,D,L,D,V,L,D,L,L,D,V,3700000,24/10/2023
30,825,V,V,D,D,D,L,L,D,V,L,D,D,D,3000000,17/10/2023
30,824,D,D,L,L,L,V,L,V,V,V,V,L,D,2300000,10/10/2023
30,823,L,L,V,D,V,L,D,V,D,L,L,D,V,2300000,03/10/2023
30,822,D,L,L,D,V,L,D,D,V,L,D,V,D,1650000,26/09/2023
30,821,D,D,D,V,V,L,D,D,V,L,V,D,D,1500000,19/09/2023
30,820,L,L,V,D,V,D,V,D,D,D,V,V,D,1950000,12/09/2023
30,819,L,V,D,D,D,D,V,D,D,L,L,L,D,1600000,28/08/2023
30,818,V,V,L,L,V,D,V,V,D,V,L,D,D,1500000,22/08/2023
30,817,V,V,V,D,D,D,D,V,D,D,V,D,L,1500000,13/08/2023
30,816,D,L,D,L,V,V,L,L,V,L,D,L,D,1500000,13/02/2023
30,815,L,L,V,L,D,D,D,D,D,L,L,D,D,5800000,09/01/2023
30,814,D,D,L,V,D,L,D,V,D,L,L,L,L,4800000,03/01/2023
30,813,L,L,V,L,D,D,L,D,D,D,L,D,V,3900000,27/12/2022
30,812,L,D,D,D,D,V,D,L,D,V,D,V,L,3200000,20/12/2022
30,811,L,L,D,L,V,D,V,D,D,L,D,V,D,2300000,13/12/2022
30,810,D,D,V,L,D,D,L,D,L,D,L,L,D,1700000,06/12/2022
30,809,L,D,D,L,L,D,D,D,D,L,L,L,V,1500000,29/11/2022
30,808,D,L,L,V,D,L,L,V,D,V,V,D,V,8000000,22/11/2022
30,807,D,D,D,L,L,L,L,L,D,D,V,D,V,7000000,15/11/2022
30,806,D,D,L,D,L,L,D,D,V,D,D,V,D,6000000,08/11/2022
30,805,D,D,L,D,L,L,D,V,D,V,L,L,L,5300000,01/11/2022
30,804,D,L,L,L,D,L,D,V,L,V,V,D,V,4600000,25/10/2022
30,803,L,V,V,L,V,D,D,D,L,L,D,L,D,4000000,18/10/2022
30,802,D,D,V,L,L,L,L,D,D,V,D,V,D,3100000,10/10/2022
30,801,D,D,D,L,D,V,V,L,D,V,L,V,L,2300000,04/10/2022
30,800,L,D,D,D,V,V,D,V,V,D,D,D,V,1750000,27/09/2022
30,799,D,D,L,L,V,D,D,L,D,D,L,L,L,1500000,20/09/2022
30,798,D,D,L,D,D,D,L,D,V,D,L,V,D,1500000,13/09/2022
30,797,L,D,L,L,L,L,D,L,D,D,L,L,D,1500000,28/08/2022
30,796,L,L,L,L,L,V,D,D,V,D,D,V,L,1500000,23/08/2022
30,795,D,L,V,V,D,L,D,D,L,D,D,L,V,1500000,14/08/2022
30,794,L,L,L,L,D,L,D,D,D,D,D,D,D,1500000,14/02/2022
30,793,V,L,V,L,L,V,D,D,D,D,D,D,V,1700000,10/01/2022
30,792,D,L,L,D,D,L,L,L,D,L,D,L,L,1500000,04/01/2022
30,791,D,D,L,V,V,D,D,L,D,L,D,L,V,1500000,28/12/2021
30,790,D,L,V,V,D,L,L,L,D,L,L,D,V,1500000,22/12/2021
30,789,V,L,V,L,V,V,D,L,L,D,D,L,V,1500000,14/12/2021
30,788,L,V,D,V,V,V,V,L,D,D,L,L,D,1500000,07/12/2021
30,787,V,V,D,L,L,L,V,L,L,L,D,D,V,8300000,30/11/2021
30,786,L,V,D,V,V,D,D,V,V,L,D,L,D,8000000,23/11/2021
30,785,L,L,D,D,L,V,V,V,L,V,L,V,V,11500000,16/11/2021
30,784,D,V,V,D,V,L,L,D,D,V,V,D,V,10600000,09/11/2021
30,783,D,D,D,V,V,D,L,D,L,L,L,D,D,9700000,02/11/2021
30,782,L,L,L,L,D,V,L,L,L,V,D,V,D,8600000,26/10/2021
30,781,D,V,V,L,V,V,L,D,V,V,D,D,D,7600000,19/10/2021
30,780,D,V,D,L,D,L,D,D,V,L,L,V,D,6700000,12/10/2021
30,779,V,L,D,V,L,V,D,V,V,L,V,D,L,5900000,05/10/2021
30,778,L,D,V,L,D,V,L,L,D,L,L,D,L,5100000,28/09/2021
30,777,V,V,D,D,V,D,L,L,D,L,D,D,D,4300000,20/09/2021
30,776,D,V,D,V,V,V,V,D,L,V,D,L,D,3600000,14/09/2021
30,775,V,L,D,L,D,L,V,D,L,D,L,D,V,2800000,30/08/2021
30,774,D,V,V,V,L,V,D,D,D,D,V,D,D,2500000,23/08/2021
30,773,V,V,D,D,L,V,D,D,V,D,L,V,D,2400000,15/08/2021
30,772,D,V,V,L,V,V,D,L,L,V,L,D,L,2300000,08/02/2021
30,771,D,L,D,D,D,D,L,V,V,L,D,L,D,1900000,04/01/2021
30,770,V,D,V,D,D,V,D,L,D,L,L,L,V,1650000,29/12/2020
30,769,V,L,L,L,D,D,L,D,L,L,L,D,V,1500000,21/12/2020
30,768,L,V,D,V,L,D,V,V,D,D,V,L,D,1500000,15/12/2020
30,767,D,D,D,D,D,D,D,D,V,V,L,D,V,3500000,08/12/2020
30,766,V,D,D,D,V,D,L,L,D,V,D,L,D,2800000,01/12/2020
30,765,L,L,V,L,D,L,D,L,D,D,D,D,D,3500000,24/11/2020
30,764,L,D,D,V,L,L,D,L,L,L,D,D,V,2700000,17/11/2020
30,763,D,L,L,D,D,V,L,L,D,D,D,V,V,2050000,09/11/2020
30,762,D,L,D,V,V,D,D,L,D,L,L,D,V,1600000,03/11/2020
30,761,D,L,D,V,D,D,D,L,V,V,V,L,V,1500000,27/10/2020
30,760,D,L,D,D,V,V,D,V,D,L,L,V,V,5500000,20/10/2020
30,759,V,L,V,L,V,V,D,L,D,D,D,L,L,5000000,13/10/2020
30,758,L,L,V,V,D,V,L,V,L,V,L,D,L,7200000,06/10/2020
30,757,L,V,L,D,L,D,D,D,L,V,D,V,V,6500000,29/09/2020
